stage,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,7.33,0.28,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0.37,0.37,4.44,0,0,0,0,0
3Month,0.1,0.1,0,0.1,0.62,0.1,0,0.1,0,0,0,0.1,0.1,0.31,0.1
22Month,0,0,0,0.27,1.64,0,0.14,0,0.14,0,0,0,0,0,0.14
