stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0
21Day,0,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0,2.6,0,0,0,0.1,0.1,0.31,0,0,0,0.1
22Month,0.14,0.68,0.14,0.96,0.14,0.27,0,2.19,0.14,0.27,0,0
