stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte
21Day,0,0,0,0,0,0,0,0.74,0,0.37,0
3Month,0.1,0.1,0.1,0.31,0.1,0,0,0,0.83,0,0.52
22Month,0,0,0.14,0.41,0,0.14,0.14,0,0.14,0,0
