stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0
72hpf,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0
21Day,1.11,0.37,0,0,0,0,0,0.37,0,0,0.37,0,0,0
3Month,0.42,0,0.1,0,0.62,0.1,0.21,0.1,0.1,0,0.52,0.21,0,5.41
22Month,0,0,0,0.14,0,0,0,0,0,0,0,0.27,0,0
