stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,1.97,0.28,0,0,0,0,0,0,0,0,0,0.28,13.53,0,6.2,0,0,0.85,0,6.48,2.54,0,5.92,0,0,0.28,0,0.56,0,0,0
21Day,0.37,0,11.47,0.74,0.37,0,0,0,0,0,0,0.74,0,0.37,8.14,0,5.18,0,0,2.96,0,5.18,0.37,0.37,2.96,1.48,0,0.37,0.37,0.74,0,0,0.74
3Month,0.1,1.77,10.3,0,0,0,0.31,0.1,0,2.91,0.52,0.1,0.73,0.1,11.75,0.62,2.91,0.42,0,0.62,0.73,0.52,0.21,0,0.1,0.52,5.72,0.21,0,0,0,1.14,0.31
22Month,0.14,1.5,3.28,0,0,0.14,0.27,0.82,0.96,11.62,0,0.27,0.27,0.14,2.32,0.96,5.19,0,0.14,0.27,0.27,0.55,0.14,0,0.14,0,1.91,0.82,0,0,0.27,0,0.41
