stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0
21Day,10.36,0,0,0,0.37,1.11,1.48,0,0,0,0.74,0.74,0,0.74,0.37,0.37,0,0
3Month,5.1,0.1,0.31,0.1,0,0,0.1,0,0.1,0.1,0,0,0.21,0,0,0,0.1,0.21
22Month,3.28,0.27,2.87,0.27,0.14,0,0.55,0.27,0,0,0,0,0,0,0,0,0,0
