stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,29,0,0,0,0,0,3,0,0,0,0,3,1,0,45,0,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,19.17,1.69,0.28,0,0,0,0,0,0,0,0,5.64,0.28,0,1.69,0,0,0,0.56,5.92,2.25,0,0,0.28,0,0,0.28,0,0,0,0,0
21Day,0,0,0.74,27.75,1.85,1.48,0,0,0,0,0,0,0,0.74,0.74,0.37,0,1.48,0,0,0,0,1.48,1.85,0.74,0,0.37,0.74,0,0,0,0,0,0,0.37
3Month,0.1,6.24,3.85,25.48,1.66,0,3.54,0.94,0,0,3.95,1.56,0,25.59,3.64,9.26,0.62,0.83,0.31,0,0.21,2.29,4.06,0,4.89,0.1,0,0.52,0.94,0.21,0.1,0,3.95,0.42,0
22Month,0,6.01,1.37,22.14,0.27,0,3.14,0.55,0.41,0,5.33,0.14,0.14,24.32,1.37,0.27,0,0.68,0,0.14,0.14,0,1.78,0,6.29,0,0,0,1.91,0,0,0.27,0,0,0
