stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,9,0,0,0,0,0,0,0,235,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,8.17,0.28,0.85,0,0,0,0,0.56,124.86,0,2.54,0,7.89,1.97,0,0.85,0,0.28,0.28,0,0.28,0,0,0
21Day,0.37,0.37,39.59,0,2.22,1.11,0,0.37,0,0.37,73.26,0,1.85,0,1.85,0.74,0.37,1.85,1.11,0.37,0,2.59,0.37,0,0,0
3Month,0,0.1,15.29,0,0,0,0.1,0,0.1,0.42,0.62,0.1,0.1,0.21,0,0,0,0,0,0,0,0,0,0.1,0.1,0.21
