stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Oligodendrocyte
72hpf,0,0,0,0,0.28,0,0.85,0
21Day,0,0.74,0,0,0,0,0.74,0
3Month,0,0.1,0.31,0.1,0.21,0,0.21,0
22Month,0.14,0.27,1.64,0,0,0.14,0.27,0.14
