stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13,2,0,1,0,0,0,7,3,30,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,2.82,7.33,0.28,0,0,0,0,0,0,0,0,1.41,6.48,0.85,0,0,0,0,0.85,32.13,6.76,1.41,0,0,0.56,0,0.28,3.38,0.85,0,0,0
21Day,0,0,0,4.07,1.48,0.37,0,0,0,0,0,0,0.37,0,0,0.74,0,0,0,0,0,0,8.14,2.22,1.85,0,0,0.37,0,0.37,0.74,0,0,0,0.37
3Month,0.21,0.52,0.62,43.69,1.35,0,0.21,0.42,1.77,0.1,6.14,1.77,0.31,2.81,14.25,1.46,1.56,2.08,0.21,0,0.1,2.6,21.01,0.94,5.82,0.1,0,0,1.46,23.92,0.21,0.42,0.31,214.59,1.04
22Month,0,0.27,0,22.68,0.41,0,0.14,0.14,0.14,0.41,4.1,0.41,0,0.27,1.23,0,0.96,0.82,0,0.14,0,0.41,4.65,0.14,3.01,0.14,0.14,0,0,16.26,0.14,0.14,0,0.55,0.14
