stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0.37,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.62,0.31,2.6,0,0,0.21,0.52,1.14,0,7.18,1.66,0.21,1.66,0,1.04,1.14,1.56,0.1,0,0.1,0.42,0.1,0.1,0.42,0.1,0,0,0.31,0.83,0,0,0,0.21,1.04
22Month,0,1.5,0.68,4.92,0,0.27,0,0.55,3.83,2.6,92.78,2.32,1.23,8.06,0.27,0.82,2.73,6.15,0.27,2.46,0.68,0,0.14,0,0,0.41,0.27,0.27,0.14,0.55,0.41,0.14,0.14,0,0.96
