stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,2.54,0,0.56,0,0,0,0.56,0.85,0,0,0.56,0,0,0,0,0,0
21Day,0,0,2.22,0.74,0,0.37,0,0,0,0,0,0.37,0,1.11,0,1.11,0,0,0,0.37,0,0,0,0.74,0,0,0,0,0,0
3Month,0.21,0.1,3.85,0,0,0.1,0.42,1.25,0,2.08,0.42,0.73,0.42,0.94,0.52,0.42,0.1,0.1,0.1,0.1,0.1,0.21,0.1,0.21,0.1,0.73,0,0.21,4.26,0.1
22Month,0,0,0.27,0,0.14,0,0,0.41,0.14,1.91,0.14,0.41,0,0,0.14,0.27,0,0,0,0,0.14,0,0,0,0,0.14,0.14,0,0,0.14
