stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.56,0,0,1.41,0,0,0,0,0,0.28,0.28,9.02,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,7.03,0,0,1.11,0,0,0,0,16.28,0.74,0,0,0,0,0.37,0,0,0.37,0.37,0,0,0,0,0,0,0
3Month,0.31,0.21,0.21,3.02,0.1,0,0.1,1.04,89.66,0,5.82,114.52,0,2.81,0.73,1.14,53.36,2.81,0.83,0.52,0.52,0.52,0,0.21,0.21,0.1,0.73,0.42,1.35,0,0.1,0.83,2.18,1.14
22Month,0,0.27,0,1.23,0,0,0.55,0.27,84.18,0.14,4.92,11.34,0.14,0.27,0.14,0.14,46.19,0.96,0,0,0,0.14,0,0,0.14,0.14,0.55,0,0.27,0.14,0.27,0.14,0,0.27
