stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0.56,0.28,0,0,0,0,0,0,0,0,0.56,0,0.28,0,23.96,1.13,0,0,0,0.28,0,1.13,0,0
21Day,0,0,0.74,0.37,0.37,0,0,0,0,0,0.37,0,0.37,0.37,0.37,1.85,0.37,21.09,1.11,0.74,0.37,0,0.37,1.11,6.66,0,0
3Month,0,0,0.21,0,0,0.1,0,0,0.52,0,0,0.1,0,0,0.1,0.1,0,0.1,0,0,0,0.1,0,0,0,0.1,0
22Month,0.14,0.14,0,0,0,0,0.41,0.14,3.14,0.14,0.14,0.41,0,0,0.14,0.14,0,0,0,0,0.14,0,0,0.82,0,0,0.27
