stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,19.17,0.28,0,0,0,0,0,0,2.54,0.56,0,0,0,0,1.13,1.97,0,0,0,0.28,0.28,0,0,0
21Day,0.37,0,0,1.48,18.5,0,0,0,0,0,0,0,1.11,0,0.37,0.37,0.37,0,1.11,0.37,0,0,0.74,0.74,0,0,0,0.37
3Month,0,0.1,0.1,2.7,7.39,0,0.31,0.21,3.22,0.42,0.62,0.1,1.04,0.31,0.62,0,0.21,0.1,0.31,0.31,0.21,0,0.83,19.45,0,0.1,9.36,0.21
22Month,0,0.14,0.14,0.55,2.19,0,0.14,0.27,10.39,0.27,0.55,0.14,0.14,0.27,0.27,0,0,0,0.14,0,0,0.14,0.27,7.93,0,0,0,0
