stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0.28,0,0,0,0,0,0
21Day,0,0,1.48,0.37,0,0,0,0,0.37,0.37,0,0,0.37,0,0,0.37,0,9.25,0.74,0,0,0,0,0,0
3Month,0,0.1,2.91,0,0.1,0.1,0.52,0.31,0,0.31,0,0.42,0.21,0.1,0,0.1,4.16,0.31,0,0,0.31,2.39,0.1,0.21,0
22Month,0.27,0,19.54,0,0.41,0.55,4.51,0.27,0,0.41,0.27,0.68,0.27,0,0.41,0.14,0.14,0.27,0.14,0.14,0.14,4.78,0,0,0.14
