stage,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,5,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0
3Month,0,0.31,0,0.1,0.1,0,0,0,0.1
22Month,0.82,0.55,0.14,0,0,0,0,1.23,0
