stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0,1.69,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0.74,0,0,0
3Month,0,0.1,0.94,0,0.1,0.21,0.83,0,0.62,0.1,0.52,0.52,0,0,0,0,0,0.1,0.1,0.31
22Month,0.14,0,0.55,0.14,0.14,0.27,0.96,0.14,0.41,0.14,0,0.27,0.27,0,0,0.14,0,0,0,0
