stage,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,0,0,124,0
72hpf,0,0,0,0.28,0.56,1.41,7.89,10.71
21Day,0.37,0.37,0.37,0,0,0.37,11.1,6.66
22Month,0,0.41,0,0,0,0,0,0
