stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0.28,0,0,0.56,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0.74,0,0,0
3Month,0,0.1,0.1,0.1,0,0.73,0.1,0.21,0,0.1,0.52,0,0.1,0,0,0.1,0.1,0,0.1,0,0.1
22Month,0,0,0.41,0,0.27,0.96,0,0,0,0.14,0.14,0.14,0,0.14,0,0,0,0,0,0.14,0.14
