stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,7,0,0,2,0,0,0,0,0
72hpf,0.28,0.28,0,4.23,0.28,0.28,0,0.56,0,0,0,0.56,0.28,1.41,8.46,0.85,7.61,0,0.85,0,0.85,5.92,2.82,0,0,8.17,0,0,1.13,1.41,0
21Day,0.74,0,0,1.85,0,0.37,0,0.37,0,0.37,0.37,0.74,0.37,0.74,1.11,2.59,7.77,0,0,1.11,0.37,2.59,0.74,0.37,0,5.18,0.37,0,0,0.37,0.74
3Month,0.1,0,0.21,0.83,0,0,0.1,0,0,29.12,0.42,0,0.52,0.31,0.21,3.02,0.21,0,0.1,0,0,0,0,0,0.1,0,0.52,0.1,0,0,0.21
22Month,0.14,0.14,0,0.68,0,0,0.14,0,1.37,38.95,0,0,0.14,0,0.14,2.73,0.82,0.14,2.05,0.14,0.14,0,0,0,0,0,0,0,0,0.14,0
