stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.13,0.56,0,0,0,0,0,0,0,0.28,0,0.56,0,0,17.19,3.38,0,0.28,0.85,0,0,0,0,0
21Day,0,0,0.37,1.11,0.37,0,0,0,0,0,0,0,0.37,0,0.37,0,0,11.47,2.59,0,0,0,1.11,0.37,0,0,0
3Month,0,0.1,0,1.14,0,0.1,0.1,0.83,4.16,0.1,0,0,0.1,0.21,0.62,0,0.1,0.52,0,0,0,0,0,3.33,0.1,6.66,0.31
22Month,0.14,0.14,0,0.96,0,0,0.14,1.23,0.41,0,0.41,0,0.14,0.14,0.55,0.14,0,0,0,0.27,0,0,0,0.55,0.27,0,0.14
