stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.56,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0.37,0,0,0,0,0.37
3Month,0.1,0.1,0.42,0,3.43,0.31,0.21,0.62,0.1,0.21,0.1,0.1,0,0,0.21,0.1,0,0.31,2.39,0,0.83,0.31
22Month,0,0,0.14,0,1.23,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0,0.68,0.14,0,0
