stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0.28,0,0,0.28,0,0,1.69,0.56,48.2,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0.37,0,17.39,0,0.37,0,0
3Month,0.21,0,0.21,0,0,0,0,0,0,0.1,0.31,0,0.1,0.1
22Month,0.14,0,2.6,0.14,0,0.14,0.14,0,0,0,0.14,0,0,0
