stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,1.69,0.56,0,0,0,2.82,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.74,0,0,0.37,0,0,0.74,0,0,0,0.37,0,0,0,0.37,0,0
3Month,0,0,0,0.1,0,0,0.1,0.1,0.31,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0.21,0,0,0,0,0
22Month,0,1.09,0.27,2.19,0.27,0.27,2.05,297.49,12.16,0.14,0.41,4.51,0.41,0.27,1.23,1.23,0,1.09,0.27,0,0,0,0.68,0.14,0.27,0,0.82,0.82,0.27,0,0.14,0.27
