stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,4.51,0.28,0,0,0,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,1.11,0,0,0,0.74,0,0,0
3Month,0,0.1,1.04,0.31,0.1,2.08,0.52,0.21,0.1,0.31,0.31,0.21,0.21,0,0,0.73,0.1,1.25,0.1,0,0.1,60.95,0.31
22Month,0,0,0.14,0,0.14,0.82,0,0,0,0,0.14,0,0,0.14,0,0.68,0,0,0,0,0,0,0
