stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,1.69,0,0,0,0,0,0.85,0,0,0,0,0
21Day,0,0.37,0,0,0,1.11,0,0,0,0,0,0.74,0,0.37,0,0,1.11,0,0,0,0.74,0,0,0,0.37,0,0,0,0.37,0.37,0,0,0
3Month,0,0.31,0.21,1.87,0,0,0.21,0.52,0.1,3.74,0.31,0,0.94,0.1,0.73,0.42,0.73,0,0.42,0.31,0.1,0,0.21,0.1,0,0.31,0.62,0,0,0,0.31,0.42,0.73
22Month,0,0.41,0,0.27,0,0,0,0,0.41,2.05,0,0.14,0.27,0.27,0.14,0.82,0.14,0.14,0,0,0,0,0.14,0.27,0,0.14,0.14,0,0,0,0.14,0,0.14
