stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,2,1,2,3,13,1,0,0,0,0
72hpf,0.28,0.56,0,0,0,0,0,0,0,0,0,1.13,3.1,1.97,0,0,0.85,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,1.85,0.74,0.74,0.37,0,0,0,0.37
3Month,0,0.21,0,0.1,0.1,0.62,0.1,0.1,0.1,0.1,0,0.1,0,0,0,1.98,0,0.31,0.21
