stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,1.97,0.28,0,0,0,0,0,0,0,0,0,2.25,0,0,0,11.27,0.85,0.85,0.28,0,0,0,0,0,0,0,0
21Day,0,2.59,0,0.37,0,0,0,0,0,0,0.37,0,0.74,0.37,0.74,0,9.25,0.74,0.37,1.85,0.74,0,0.37,0.37,0,0,0,0.37
3Month,0.31,1.98,0,0,0.1,0.31,0.31,0,0.31,0.1,0.42,0.21,0.52,0.1,0,0,0,0,0,0,0.1,0.62,0,0,0.21,0.21,0.1,0.1
22Month,0.14,0.96,0,0,0,0,0.82,0,1.78,0.14,0.41,0,0.27,0.27,0.27,0.14,0,0,0.27,0.14,0,0.27,0,0,0,0,0,0
