stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,5,6,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,1.13,0.28,0.56,0,0,0,1.13,2.54,0,1.97,0,0,0,0,0,0
21Day,0.37,0,0,0.74,0.37,0.37,0,0,0,0,0,0,0.37,0,0,0,0,1.85,0,0,0,0,0,0,0.74,0,0.37,0,0,0,0
3Month,0.1,0.52,0.31,5.51,0,0,0.1,0.1,1.04,0,7.07,0.31,0.21,1.66,0.62,1.98,0.73,1.14,0.31,0,1.25,0.62,0,0.73,0,4.16,0.1,0,0.1,1.46,0.52
22Month,0,0.14,0,1.09,0,0,0,0.41,0.82,0.14,2.87,0,0,0.55,0,0.27,0.55,0.41,0,0.14,0.14,0,0,0,0,2.19,0,0.27,0,0,0.27
