stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16,27,0,95,8,1,0,0,0,0,0,2,1,0,1,0,10,34,8,163,0,1,0,50,2855,1,0,0,33,1,0,1,0,0,5,0,0,0
72hpf,31.57,5.07,0,7.33,3.1,3.1,0,0,0,0,0,0.28,0,0,0.28,0.28,5.64,14.09,1.13,56.93,0,7.33,2.82,192.22,120.63,0,1.41,0,43.12,3.38,0.28,19.73,9.02,4.51,3.95,0,0,0
21Day,3.33,0.74,0.74,2.96,0,0.74,0,0.37,0,0,1.11,0,0,0,0.74,0,0,2.22,0.37,11.47,0,0,2.96,15.17,9.62,0.37,0,0,13.32,0.74,0.37,0.74,0.37,1.11,0.37,0,0,0.74
3Month,0,0.21,0.1,1.46,0,0,0,0,0.1,0.42,0.1,0,10.71,0.42,0.21,0.83,0.42,1.35,0.31,7.7,0.1,0.21,0.42,0.73,0,1.46,0.21,0,0.21,0.21,14.25,0.1,0,0,0,0.1,2.08,0.42
22Month,0.14,0.96,0.82,4.37,0,0,0.41,0,0.55,1.37,73.52,0,148.67,0.68,0.14,1.91,0.14,0.55,1.5,18.31,0,5.33,1.91,0.14,0.14,3.42,1.23,1.09,0,0.14,5.74,0.41,0.41,0.14,0,0.68,0,0.14
