stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0.28,0,1.13,0,0.28,0.56,0,0,0,3.38,1.69,0,0,0,1.13,0,0,0.56,0,0,0,0,0
21Day,0,0,0.74,11.47,0,3.33,0,2.22,0,1.11,0,0.37,0,4.07,2.96,0,2.22,4.44,1.48,0,0,0,0.37,1.11,0,0,0,0.37,0.37,0,0,0,0.37,0,0,4.07
3Month,0,0.31,0.73,29.96,0,0,0.21,0.52,2.5,6.35,0,2.7,8.84,2.29,29.44,1.14,5.51,5.51,1.14,0.21,0.62,0.21,0,0,0.83,0.1,0,0,0.52,3.02,0,0,0,0.21,0.73,11.65
22Month,0,0.96,1.09,6.01,0.14,0,0,0.14,1.91,14.62,0.14,2.32,3.69,3.42,22.14,0.41,1.37,10.11,0.82,0.55,0.27,0,0,0,0.27,0.14,0.14,0,0.27,1.5,0.14,0.14,0,0,0,3.42
