stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,1.13,2.25,0,0,0,0,0,0,0,1.41,0,1.13,0,0,0,5.92,2.25,0,0.85,0,0,0,0,0,0,0
21Day,0.37,0,0,3.33,7.4,2.96,0,0,0,0.74,0,0,1.85,0.37,2.59,0,0,0,1.48,0.74,0,0.37,0.74,0,0.37,0.74,0,0,0
3Month,0,0,0.21,1.14,0,0,0.62,1.66,0.42,0,0.83,0.1,0.62,0.42,0.52,0,0.21,0.1,0,0,0.1,0,0.21,0.31,0,0,0.1,0.31,0.21
22Month,0,0.14,0.27,0.41,0,0,0.14,3.28,0,0,0,0,0.14,0,0.27,0.14,0,0,0,0,0.14,0,0,0.41,0,0,0,0,0.27
