stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,1,0,8,0,0,0,0,0,0,0,1,0,8,3,12,0,0,1,45,0,0,0,0,0,1,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0.56,1.13,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.1,0,0.21,0,0,0.1,0,0.21,0.1,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,1.14,0,0,0.21,0.21
22Month,0.14,1.23,0.55,2.87,0,0.27,1.64,2.32,9.84,0.41,0.14,0.82,0.41,0.27,1.09,1.37,0,0.68,0.14,0.14,0.27,0.41,42.63,0.27,0.41,0,0,0.14
