stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,0,1,0,0,0,0
72hpf,0.56,0.56,0,0.28,0,0,0,0,0,0,0,0,0.56,0,2.25,0,0.28,0,1.41,0.85,0,5.36,0,0,0,0
21Day,0,2.59,0,0.74,0.37,0,0,0,0,0,0,0,0.74,0.74,11.84,0.37,0,0.37,2.22,1.48,0,7.03,0.74,0.37,0,0.37
3Month,0.1,1.35,0.1,0,0.1,0.1,0.1,0.42,1.25,0.1,0.42,0.21,1.25,0.42,2.18,0.62,0,0.21,0.1,0,0.1,0,0,0,0.1,0.21
22Month,0,0,0,0,0,0,0,0.14,1.23,0,0.14,0,0,0.41,0.27,0.14,0,0,0,0,0,0,0,0,0,0
