stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,1.69,0,0,0,0,0,0,0,0,0,0,1.13,0.28,0.28,0.28,0,0,0.28,0.56,0,0,0,0.28,0,0,0
21Day,0.37,0,1.11,2.22,0.74,0.37,0,0,0,0,0,0,0.37,0,0,1.48,0,1.48,0,0.37,0.37,0,0.37,0,0,0,0,0,0,0
3Month,0,0,0.31,1.77,0,0,0.1,0.62,0.1,0,1.56,0,0.1,5.72,1.25,0.31,0,0.21,0,0,3.33,0,0,0.1,0.1,0.1,0.1,0.1,0.21,0.1
22Month,0,0.41,0.27,0.68,0,0,0,0.55,0.14,2.73,3.55,0.41,0.14,4.37,0.14,0.96,0.14,1.23,0.14,0,0.27,0,0,0,0,0,0,0,0,0
