stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,1.69,0.28,0.28,0,0,0
21Day,0.37,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.73,0.1,0.21,0.21,2.6,0.62,0.1,0.21,0.31,0,0.42,0,0,0,0.94,0.21,0.31
22Month,0,0.14,0,0,0.14,3.55,0.14,0,0.14,0.27,0,0,0,0,0,0.27,0,0.14
