stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,1,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0,1,0,0,0,0,0,0
72hpf,0.56,0,0.85,74.41,0,2.54,0,0,0,1.13,0,0,1.69,4.23,0,0,0,0.28,3.95,1.69,0,0.28,0,0.85,0,0,0,0
21Day,0.74,0,3.7,72.52,0,4.07,0,0.74,0,1.11,0,0.37,0.74,9.99,1.11,0,0,0,1.48,0.74,0,0,1.11,0.37,0.37,0.37,0,1.11
3Month,0.1,0.1,0.1,0,0,0,0.42,0.83,0.1,0,0.1,0,0,0.31,0.21,0.1,0,0,0.31,0,0,0,0,0,0,0,0.21,0
22Month,0,0,0.14,0,0.41,0.14,1.78,2.19,0.14,0,1.5,0,0.14,2.46,0.68,0,0.14,0,0.14,0,0.27,0,0,0,0,0,0,0.41
