stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0,1.41,24.8,0.28,1.13,0,0.28,0,0.28,2.82,1.97,0,0,1.41,0.56,0,1.13,0,0,0,0
21Day,1.48,0,0.37,16.65,0.74,0,0.37,0,0,0,0.37,0,0,0,0,0.74,0.37,7.77,1.85,2.96,0,0,2.22,0,0.37,1.11,0,0,3.33,0,0,0.37,0,0,0,0
3Month,0,1.04,14.04,165.07,0,1.25,0.1,0,32.87,2.5,0,0,21.32,4.26,0.42,136.47,4.26,21.53,14.87,8.53,2.6,0.1,4.68,1.66,1.25,0,2.18,0.42,0.21,4.58,10.82,0.31,0.21,1.14,1.77,1.35
22Month,0,5.33,7.65,42.22,0,0.41,0.14,0.27,18.31,2.19,4.51,0.14,64.09,0.27,0.27,108.91,1.5,6.15,3.42,32.8,1.37,0.82,3.96,0.14,0,0.27,1.91,0.27,0.27,0.55,7.93,0.82,0.27,0.14,0,0.41
