stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8,5,0,32,1,2,0,0,0,0,8,0,0,0,0,3,15,20,45,0,0,0,1,11,404,0,4,0,0,0,0,1,0,0,0
72hpf,0.56,0.28,0,3.1,0.56,0.85,0,0,0.28,0,0,0,0,0,0,1.41,2.54,0.56,7.61,0,0.28,0.28,0.28,17.47,31.57,0,2.82,0,0.28,1.13,0,0,0,0,0
21Day,2.59,0,0.37,5.92,0.37,9.25,0,3.7,0.74,0,0,0,0.37,3.7,0,1.11,1.48,0.37,3.7,0,0,0,0,4.44,16.28,0,0.74,1.48,0,0.37,1.11,0,0,0,0
3Month,0,0,0,1.35,0,0,0.1,0,0.31,0,0,2.91,0.21,0.1,0.31,0.1,0.42,0.42,0.73,0.1,0,0.21,0.21,0,0.1,0.1,0,0,1.87,0,0,0,0.21,0.94,0.21
22Month,0.14,0,0,0.41,0,0,0,0,0.14,0.14,0,0.68,0,0,0.55,0,0,0.41,0.27,0,0.27,0,0,0.14,0.14,0,0,0,0.82,0,0,0,0.14,0,0
