stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,10,29,0,166,2,0,1,0,0,0,2,1,0,0,2,1,18,3,193,0,22,616,0,0,3,0,0,0,0,0,0
72hpf,0,0.85,0,2.82,0.56,1.13,0,0,0,0,0,0,0,0,0,0,0.28,0,1.97,0,3.38,3.1,0,0.28,6.2,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,2.22,1.11,0,0,0,0.37,1.85,0,0,0,0
3Month,0,0,0,1.35,0,0,0,0,0.42,0,0,1.56,0.1,0,0,0.1,0.42,0.1,0.52,0.21,0.31,0,0,0.83,0,0.31,3.74,0,0.31,4.26,0
22Month,0,0.14,0,0.27,0,0,0,0.14,0.55,2.6,0,2.05,0.14,0,0.14,0,0.27,0.41,0.68,0,0.14,0,0.14,1.23,0,0.14,1.78,0.14,0,0,0.14
