stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,2,0,4,1,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,0,0,2,68,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,2.25,0.28,0.56,0,0,0,0,0,0,0,0.56,0,1.69,2.82,0,5.36,0,0,0.56,0,33.26,33.54,0.28,0,0,4.51,0,0,2.25,0.28,1.13,0,0,0
21Day,2.96,0.37,0,4.81,1.11,3.7,0,2.22,0,0.37,1.11,0.74,0,2.22,0.37,0.37,1.48,0.37,9.25,0,0,1.48,0,8.51,5.92,0,0.37,0,4.44,0.37,0,2.22,0,0.37,0,0,0.37
3Month,0.1,0.62,0.62,16.75,0.31,0,0.21,0.73,0.1,6.14,2.18,17.58,1.66,0.73,6.97,1.35,4.68,3.95,4.68,1.04,0,1.77,0.73,2.29,0.83,1.77,0.31,0,0.21,0.83,43.17,0.62,0,0.31,1.46,15.29,2.18
22Month,0,0.27,0.14,3.01,0,0,0.27,0.27,0,0.27,3.83,18.86,1.37,1.37,0.68,0.27,0.82,2.73,4.92,0.14,0.27,0.55,0,0.14,0.27,0.55,0.41,0.27,0,0.14,6.42,0,0,0,0.14,0.14,0.96
