stage,Enterocyte,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,1,0,3,0,0,3,0
72hpf,0,0,0,0,0,0,0.85,0.85,0,1.13,1.13,0
21Day,0,0,0,0,0,0.37,0,1.11,0,1.48,0,0
3Month,0.21,2.81,0.42,1.56,0.52,0,0.1,0,0,0,0,0.42
22Month,0,0.68,0.68,0.41,0.14,0,0,0.41,0.14,0,0,0
