stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,1.41,0,0,1.97,1.69,0,0,0.85,0,0.28,0.28,0.28,0,0
21Day,0.37,0,1.11,0.37,0,0,0,0.37,0,0,0,1.11,0,0.37,0.37,1.11,4.44,0,0,1.85,1.48,0.37,0,1.48,0,0,0,0,0,0
3Month,0,0.1,0.52,0,0.1,0.1,0.31,9.99,0,1.66,0.83,0.1,0.31,0,0.21,0.31,0.83,0.1,0.1,0,0,0.1,0.1,0,2.18,0,0,0,0.83,0.31
22Month,0,0,1.09,0,0.27,0.27,0.27,17.76,0.27,3.55,0.96,0.14,0.14,0,0.14,1.09,2.73,0.14,0.27,0,0,0.27,0,0.14,0.27,0,0,0,0,0.14
