stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,1.85,1.11,0,0.37,0,0.37,0,0,0,0,0,0,1.11,1.11,0,0,0,0,0,0,0.74,0,0.74,0.37,0,0,0,0,0,0
3Month,0,0.21,1.56,0,0,0.1,0.31,1.56,0,2.6,3.22,0.1,0.42,0,0.73,0.94,0.31,0.1,0,0.21,0.1,0,0,0.21,0,0.42,0.83,0,0,0.21,1.77,0.62
22Month,0.14,0,0.82,0,0.41,0,0.14,1.37,0.41,8.47,0.68,0.27,0.82,0.14,0.27,1.09,0.27,0,0.27,0.27,0.14,0,0,0.14,0,0.14,0,0.14,0.14,0,0,0
