stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,5.07,0.85,0,0,0,1.41,0,0,0,0.28,0,0,0
21Day,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,4.81,0,0,0.74,0,1.48,0,0,0,0,4.07,0.37,0,0,0,0,0,0
3Month,0,0.1,1.35,0.1,0,0.31,0.1,0.1,3.85,0.83,0,0.83,0.31,0.21,0.42,1.77,0.31,0,0.1,0.1,0,0,0.1,0.21,0,0,0.21,1.04,0.1,0,0,3.12,0.21
22Month,0.14,0.41,1.37,0,0.14,0,0.96,0.68,30.06,0.96,0.41,1.5,0,0.14,1.5,1.09,0.14,1.09,0,0,0,0,0.27,0,0.14,0,0,0.96,0,0,0.14,0,0
