stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,1.11
3Month,0,0.1,0,0,0.31,0.1,0.21,0,0.1,0.94,0,0.21,0.1,0.31,0.21,0.42
22Month,0.14,0.14,0.14,3.01,0.96,0.27,0.27,0.27,0,1.78,0.14,0,0,0.14,0,0.14
