stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.28,0,0,0,0,0,0
21Day,0,1.11,0,0,0,0.37,0,0,0,0.74,0,0.37,0,0,0.37,0,0,0,0,0.37,0,0
3Month,0.1,1.87,0,0.1,0.21,3.54,0.1,0.1,1.04,0.1,0.42,0.21,0,0.1,0,0,0.73,0,0.1,3.74,1.66,0.1
22Month,0.14,0.82,0.14,0,0.14,9.02,0.14,0.14,0.68,0.41,0.27,0.55,0.55,0,0,0,0.55,0.14,0.14,2.73,0,0.27
