stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0,0.28,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.11,0,0,0,0,1.11,0.37,1.85,0,1.11,0.37,0,0,0.37,0,0.37,0,0,0.37
3Month,0,1.35,0.1,0.1,0.1,0.42,0,0.42,0.31,0.21,0.1,0,0.1,0.1,0,0.1,0,0,0,0.73
22Month,0.27,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.14,0.14,0
