stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.85,0,0,0,0,0,0,0,0,2.82,0,1.41,0,0,1.69,1.13,0,0.28,0,0,3.38,0,0.56,0,0,0
21Day,0.74,0,7.77,0.37,0,0,0,0,0,0,0,1.48,0.37,5.92,0,2.59,1.48,0,0.37,0.37,0.37,0,1.48,0.37,0,0,0,0
3Month,0,0.1,11.13,0,0.1,0,0.42,2.08,0.1,0.21,0.21,7.18,0.1,3.54,0.1,2.29,0.21,0,0,0,0.1,0.73,0.21,0,0,0.1,0.94,0.1
22Month,0,0,0.14,0,0,0.14,0.14,2.73,0,0.27,0,0.55,0.14,0.68,0,0,0,0,0.68,0,0,0.27,0.14,0,0,0,0,0.14
