stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0.28,0,0,0.28,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,5.55,0,0,0,0.37,0
3Month,0.21,0.1,0.1,2.39,0.1,0.1,0.31,1.04,4.37,1.56,0.21,1.56,0.21,0.73,0.94,0.62,0.31,0.1,0.42,0.42,0.1,0.21,0.21,0.31,2.29,133.56,0.31,0.1,1.14,89.87,0.62
22Month,0,0,0,0.27,0,0,0,0,0.82,0,0,0.41,0.14,0,0,0.27,0,0,0,0,0,0,0,0,0.14,23.5,0,0,0,0,0.27
