stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21Day,0.37,0,1.85,1.11,0,0.37,0,0,0,0.37,1.48,0,0.74,0.74,11.47,0.37,0,0,0.37,0.37,0,0,0,0.37,0,0,0
3Month,0,0.1,3.22,0,0.1,0,0.21,0,0.62,0.52,0.31,0.31,0.1,0,22.99,0.73,0.1,0.1,0,0,0.1,0.31,0.21,0,0.31,0.1,0.62
22Month,0,0.14,0.41,0,0,0,0,0.27,0.27,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0.27
