stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0.85,0,0.85,0,0,1.41,1.69,0,1.13,0,0,0.28,0,0,0
21Day,1.11,0,0.37,0,0,0.37,0,0,0,0,0.37,0,0,0.37,0.74,0,0,0.74,1.11,0,1.11,0.37,0,0,0,0,0
3Month,0,0,0.83,0,0.1,0,0.52,0,3.02,0.21,0,0,0,0.31,0.62,0.21,0.1,0,0,0,0,0.21,0.42,0,0.1,0.1,0
22Month,0,0.27,0.27,0,0,0,0.55,0.27,3.83,0,0.14,0.55,0.14,0.27,0,0,0,0,0,0.14,0,0.14,0.27,0,0,0,0.14
