stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,4,0,53,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,13,0,0,0,0,2,76,0,0,0,1,0,0,0,0,0,0,0
72hpf,1.41,0.56,0,10.71,1.97,0.85,0,0,0,0,0,0,0,0,0,0,2.25,44.25,0,8.46,0,0.56,0,0,3.1,7.61,0,0,0,7.61,0.28,0,3.95,0.28,0,0,0
21Day,1.85,0,0,16.65,0.37,2.22,0,0.74,0,0,0,0,0,0,0,0,0.74,1.11,0,8.51,0,0,1.48,0,1.11,1.11,0,0.37,0,3.33,0.37,0,0.37,0.74,0,0,0.37
3Month,0.1,1.56,0.21,25.17,0.42,0,0.21,0.42,0.21,0.1,0.73,0.21,1.77,0.94,0.21,1.25,1.66,17.27,1.56,16.64,2.6,0,1.14,0.1,0.62,0.62,0.94,0.31,0,0.1,0.31,3.22,0.31,0.31,0.73,1.87,3.12
22Month,0,0.82,0.14,6.01,0.27,0,0.41,0,0,0,0.96,1.37,1.5,0.27,0,0.27,0.27,4.1,2.6,12.3,0.68,0,0.41,0,0.27,0.41,0.68,0.27,0.41,0.14,0.14,5.47,0.27,0,0,0,0.41
