stage,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Nephron_cell,Smooth_muscle_cell,Spermatocyte
3Month,0,0,0,0,0.1,0,0.1
22Month,0.14,0.14,1.09,0.14,0,0.14,0
