stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,37,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.13,0.56,0,0,0,0,0,0,0,0,0,0.56,1.69,0,10.71,0,0,0,0.85,7.61,0.28,12.4,0,0,0.28,0,0.28,0,0
21Day,3.7,0,0,1.11,0,0.37,0,0.74,0,0,0,0,0,0.74,0,0.74,0.37,46.99,0,0,0,1.11,1.48,0,2.96,1.11,0,0,0.74,1.85,0,0
3Month,0.21,0.1,0.1,1.04,0,0,0.21,0.1,0.1,0.73,3.02,0.73,0.1,0.83,0,0.83,0.52,13,1.56,0.42,0.62,0.1,0,0,0,0.31,2.6,0,0,0.31,32.25,0.42
22Month,0,0.27,0.14,0.55,0,0,0.14,0.14,0.14,0.41,5.06,0.41,0,0.55,0.14,0.55,0.27,6.29,0,0.14,0,0,0,0.41,0,0,0.41,0,0,0,0.27,0
