stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,3,35,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.56,0.56,0,0.85,2.82,1.41,0,0,0,0,0,0,0,0,0,1.97,0.28,1.41,0,0,0,124.58,15.78,0,0.85,5.07,0,0,4.23,0,0.28,0,0,0
21Day,0,0,0,0.74,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,28.12,1.48,0,1.48,0.37,0,0,0,0.37,0,0,0,0.37
3Month,0,0.1,0.1,1.66,0.21,0,0.21,0.31,0.31,0,0.83,0.73,0.21,0.31,0.42,0.1,1.14,1.46,0,0.1,0.1,0.94,0.1,0.1,0,0.1,0.31,3.64,0.1,0,0,0.31,0.83,1.25
22Month,0,0,0,0.68,0,0,0,0.14,0.96,0.68,0.14,0,0.27,2.19,0,0,0.96,0,0.14,0,0,0,0,0.41,0.14,0,0,3.14,0.14,0,0,0,0,0.27
