stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0.85,0,0,0.28,0,0,0,0
21Day,1.11,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,0
3Month,1.04,0,0.31,0,1.14,0.21,0.31,0,0.52,0.21,0.1,0,0.21,0.1,0,0,0,0,0.21,0.1,0.1,0.1
22Month,0.55,0.14,0.14,0.27,2.87,0.41,0.27,0.27,0,0,0.14,0.14,0,0,0,0.14,0.14,0,0.14,0.14,0,0
