stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4,148,0,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,1.13,1.13,0,1.13,1.13,1.13,0,0,0,0,0,0,0,0,0,0,0,3.1,0,12.97,0,0,0.56,80.61,30.44,0,0.56,0,16.07,0,0,5.36,0.28,0.28,0,0,0,0
21Day,4.07,2.96,0,2.96,0.37,2.59,0,0.37,0,0,0,0,0,0.37,0.74,0.37,0.37,1.85,0.74,54.02,0,0,4.44,49.21,23.31,0,2.22,0,26.64,1.85,0.37,3.33,0.37,2.22,1.48,0,0,0.37
3Month,0,1.56,0,3.85,0.21,0,0.1,0,0.21,0.52,0.73,0,2.6,0.62,0,0.94,0.1,1.25,0.62,7.8,1.46,0,0.62,1.14,0.21,0.62,2.7,0,0.21,0.1,5.41,1.66,0,0,0.31,1.87,8.53,0.62
22Month,0.14,2.6,0.41,2.32,0,0,0,0,0,1.09,1.23,3.01,13.53,0.55,0.14,1.5,0,0.41,1.23,4.37,0,0.41,0.68,0.96,0.27,0.96,4.92,0.14,0.14,0,0.82,1.64,0,0,0.14,0.41,0.14,0.41
