stage,Cardiomyocyte,Endothelial_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell
72hpf,0.28,0,0.85,0.56,0.28,4.51,0.28,0.85,0,0.28,0.28
21Day,0,0.37,0,0.74,0,1.48,0.37,0,0.37,0,0
