stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82,1.13,0,0,0,0,0,0.28,0,0,0
21Day,0,0,0.37,0,0,0,1.85,0,0,0.37,0,1.85,0,0,0,1.48,0.74,0,0,1.11,0,0,0,0,0,0
3Month,0,0.1,1.35,0.1,0.42,0.1,45.77,0.52,0.83,0.73,0.31,2.39,0.42,0.1,0.21,0.21,0.21,0.42,0.31,0,0.94,1.14,0.21,0.1,0.31,0.21
22Month,0,0.14,0.41,0,0,0.27,43.32,0,0.82,0,0.14,0.55,0,1.78,0,0.14,0.14,0.14,0.14,0.14,0,0.41,0.27,0.14,0.14,0
