stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,1,0,1,0,0,0,0,0,0,0,1,0,6,0,0,2,20,1,0,0,0,0,0,0
72hpf,0.56,0,1.13,0.28,0.56,0,0,0,0,0.28,2.25,0,3.95,0,0,9.3,5.92,6.2,0,0,0.85,0.85,0.28,0
21Day,2.22,0,3.33,0.74,0.37,0,0,0.37,0,0,1.11,0,9.99,0,0,5.55,2.59,1.48,0.74,0,0,0,0,0
3Month,0,0.1,0.83,0,0,0.1,0.21,0,0.21,0,0.1,0.1,0,0.42,0,0,0,0.1,0,0.21,0.1,0,0.1,0.1
22Month,0,0,0.41,0,0,0,0.14,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0
