stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0.56,1.41,0.28,0,0,0.28,0,0,0,0,0
21Day,0,10.36,0.37,0,0,0.37,0,0.37,0.37,0,0,0,0.74,0,0.37,0,2.22,0.37,0,0.37,0,0,0,0,0,0.37
3Month,0,15.29,0.94,0.31,0.1,1.87,0.31,0,0.62,0.21,0.31,0.21,0.21,0.21,0.1,0.52,0,0,0.21,0.1,0,0.21,0.94,0.1,1.04,0.31
22Month,0.14,2.05,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0.14,0,0,0
