stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Spermatocyte,T_cell
3Month,0,0,0.1,0.1,0,0,0.1,0.1
22Month,0.14,0.14,0,0.27,0.14,0.14,0,0.27
